000000000647095_110401130352.mcb;Kaffezusatz Lac.-frei to go;140200383401;0.30 €;Früh1;;;;19;0.252 €;4.8e-002 €
000000000647096_110401130430.mcb;Cappuccino klein  here;105201300402;2.50 €;Früh1;;;;19;2.101 €;0.399 €
000000000647096_110401130430.mcb;Latte Macchiato mit Sirup here;102200312402;3.00 €;Früh1;;;;19;2.521 €;0.479 €
000000000647096_110401130430.mcb;Bagel Stulle Deluxe here;151200347402;2.90 €;Früh1;;;;19;2.437 €;0.463 €
000000000647097_110401130439.mcb;Muffin to go;161200300401;1.40 €;Früh1;;;;7;1.308 €;9.19999999999999e-002 €
000000000647098_110401130556.mcb;Caffe Latte ohne Sirup to go;103200311401;2.80 €;Früh1;;;;19;2.353 €;0.447 €
000000000647099_110401130620.mcb;Latte Macchiato ohne Sirup to go;102200311401;2.80 €;Früh1;;;;7;2.617 €;0.183 €
000000000647100_110401130836.mcb;Latte Macchiato ohne Sirup here;102200311402;2.80 €;Früh1;;;;19;2.353 €;0.447 €
000000000647101_110401130850.mcb;Latte Macchiato ohne Sirup here;102200311402;2.80 €;Früh1;;;;19;2.353 €;0.447 €
000000000647102_110401131027.mcb;Kaffee here;108200300402;1.70 €;Früh1;;;;19;1.429 €;0.271 €
000000000647103_110401131135.mcb;Cappuccino klein  here;105201300402;2.50 €;Früh1;;;;19;2.101 €;0.399 €
000000000647104_110401132443.mcb;Cookie to go;163200300401;1.20 €;Früh1;;;;7;1.121 €;7.9e-002 €
000000000647105_110401132455.mcb;Espresso groß Barista here;101203302402;2.40 €;Früh1;;;;19;2.017 €;0.383 €
000000000647106_110401132502.mcb;Smoothie plain here;134200340402;3.50 €;Früh1;;;;19;2.941 €;0.559 €
000000000647107_110401132601.mcb;Latte Macchiato mit Sirup here;102200312402;3.00 €;Früh1;;;;19;2.521 €;0.479 €
000000000647108_110401132807.mcb;Espresso groß Originale here;101203301402;2.50 €;Früh1;;;;19;2.101 €;0.399 €
000000000647109_110401133158.mcb;Cappuccino klein  to go;105201300401;2.50 €;Früh1;;;;19;2.101 €;0.399 €
000000000647111_110401133458.mcb;Cappuccino groß  here;105203300402;3.00 €;Spät1;;;;19;2.521 €;0.479 €
000000000647111_110401133458.mcb;Cappuccino groß  here;105203300402;3.00 €;Spät1;;;;19;2.521 €;0.479 €
000000000647112_110401133843.mcb;Kaffeeverkauf Espressobohnen klein Espresso Originale to go;182201326401;4.00 €;Spät1;;;;7;3.738 €;0.262 €
